datetime,IMERG_PRECTOT
2025-04-28,5.18
2025-04-29,21.83
2025-04-30,27.38
2025-05-01,1.26
2025-05-02,0.0
2025-05-03,0.0
2025-05-04,0.14
2025-05-05,1.46
2025-05-06,4.46
2025-05-07,0.78
2025-05-08,3.15
2025-05-09,35.85
2025-05-10,41.13
2025-05-11,10.83
2025-05-12,0.0
2025-05-13,0.0
