datetime,IMERG_PRECTOT
2006-10-17,0.83
2006-10-18,0.05
2006-10-19,0.02
2006-10-20,0.0
2006-10-21,0.02
2006-10-22,0.13
2006-10-23,3.5
2006-10-24,0.04
2006-10-25,0.01
2006-10-26,0.0
2006-10-27,0.01
2006-10-28,0.01
2006-10-29,0.98
2006-10-30,2.84
2006-10-31,0.01
2006-11-01,0.03
2006-11-02,0.0
2006-11-03,0.03
2006-11-04,2.96
2006-11-05,0.61
2006-11-06,7.49
2006-11-07,3.68
2006-11-08,0.0
2006-11-09,0.0
2006-11-10,4.74
2006-11-11,16.31
2006-11-12,0.68
2006-11-13,0.07
2006-11-14,1.18
2006-11-15,0.0
2006-11-16,2.13
2006-11-17,0.0
2006-11-18,0.0
2006-11-19,0.01
2006-11-20,0.0
2006-11-21,0.04
2006-11-22,0.0
2006-11-23,0.0
2006-11-24,1.71
2006-11-25,0.0
2006-11-26,0.0
2006-11-27,0.0
2006-11-28,0.0
2006-11-29,0.0
2006-11-30,0.01
2006-12-01,2.31
2006-12-02,0.22
2006-12-03,0.0
2006-12-04,0.0
2006-12-05,0.0
2006-12-06,0.0
2006-12-07,0.0
2006-12-08,0.04
2006-12-09,0.01
2006-12-10,3.28
2006-12-11,4.94
2006-12-12,0.56
2006-12-13,1.95
2006-12-14,0.1
2006-12-15,10.49
2006-12-16,0.0
2006-12-17,0.01
2006-12-18,2.73
2006-12-19,0.92
2006-12-20,0.0
2006-12-21,0.18
2006-12-22,0.01
2006-12-23,0.01
2006-12-24,0.0
2006-12-25,0.06
2006-12-26,0.0
2006-12-27,0.0
2006-12-28,0.0
2006-12-29,0.0
2006-12-30,14.69
2006-12-31,1.3
2007-01-01,0.21
2007-01-02,5.77
2007-01-03,0.72
2007-01-04,0.45
2007-01-05,0.68
2007-01-06,0.52
2007-01-07,0.01
2007-01-08,0.45
2007-01-09,0.04
2007-01-10,0.0
2007-01-11,0.0
2007-01-12,0.54
2007-01-13,0.33
2007-01-14,0.17
2007-01-15,5.75
2007-01-16,0.04
2007-01-17,4.25
2007-01-18,1.72
2007-01-19,0.91
2007-01-20,0.19
2007-01-21,0.0
2007-01-22,0.0
2007-01-23,0.06
2007-01-24,0.03
2007-01-25,0.02
2007-01-26,0.14
2007-01-27,0.25
2007-01-28,3.51
2007-01-29,0.44
2007-01-30,0.52
2007-01-31,4.81
2007-02-01,4.29
2007-02-02,1.41
2007-02-03,0.0
2007-02-04,0.0
2007-02-05,0.0
2007-02-06,0.0
2007-02-07,4.38
2007-02-08,18.09
2007-02-09,3.76
2007-02-10,0.77
2007-02-11,0.0
2007-02-12,0.0
2007-02-13,0.0
2007-02-14,5.32
2007-02-15,8.12
2007-02-16,0.0
2007-02-17,21.71
2007-02-18,0.01
2007-02-19,0.03
2007-02-20,0.0
2007-02-21,0.0
2007-02-22,3.3
2007-02-23,0.0
2007-02-24,25.97
2007-02-25,1.25
2007-02-26,0.0
2007-02-27,8.38
2007-02-28,0.92
2007-03-01,0.16
2007-03-02,13.42
2007-03-03,9.35
2007-03-04,0.0
2007-03-05,0.02
2007-03-06,15.23
2007-03-07,1.42
2007-03-08,0.01
2007-03-09,1.4
2007-03-10,0.0
2007-03-11,0.0
2007-03-12,12.8
2007-03-13,12.35
2007-03-14,0.0
2007-03-15,1.34
2007-03-16,0.45
2007-03-17,0.0
2007-03-18,0.0
2007-03-19,0.13
2007-03-20,0.0
2007-03-21,0.0
2007-03-22,0.04
2007-03-23,0.33
2007-03-24,23.72
2007-03-25,5.84
2007-03-26,0.0
2007-03-27,1.88
2007-03-28,0.27
2007-03-29,2.98
2007-03-30,0.0
2007-03-31,9.81
2007-04-01,0.0
2007-04-02,0.1
2007-04-03,0.11
2007-04-04,0.08
2007-04-05,7.64
2007-04-06,12.52
2007-04-07,0.75
2007-04-08,1.05
2007-04-09,0.42
2007-04-10,0.28
2007-04-11,0.0
2007-04-12,11.98
2007-04-13,7.71
2007-04-14,0.33
2007-04-15,1.13
2007-04-16,0.22
2007-04-17,5.85
2007-04-18,0.44
2007-04-19,0.13
2007-04-20,0.29
2007-04-21,0.04
2007-04-22,0.0
2007-04-23,0.0
2007-04-24,0.25
2007-04-25,0.04
2007-04-26,8.45
2007-04-27,1.11
2007-04-28,0.0
2007-04-29,0.0
2007-04-30,0.17
2007-05-01,0.03
2007-05-02,0.09
2007-05-03,0.61
2007-05-04,0.25
2007-05-05,0.24
2007-05-06,0.0
2007-05-07,0.0
2007-05-08,0.0
2007-05-09,0.0
2007-05-10,0.0
2007-05-11,2.42
2007-05-12,1.32
2007-05-13,0.11
2007-05-14,0.04
2007-05-15,0.25
2007-05-16,1.99
2007-05-17,0.0
2007-05-18,2.46
2007-05-19,1.72
2007-05-20,1.56
2007-05-21,0.37
2007-05-22,0.0
2007-05-23,0.33
2007-05-24,6.06
2007-05-25,0.05
2007-05-26,0.57
2007-05-27,0.14
2007-05-28,0.04
2007-05-29,0.08
2007-05-30,0.03
2007-05-31,0.0
2007-06-01,0.0
2007-06-02,0.0
2007-06-03,9.52
2007-06-04,2.66
2007-06-05,19.61
2007-06-06,0.0
2007-06-07,0.0
2007-06-08,0.0
2007-06-09,0.0
2007-06-10,0.0
2007-06-11,0.0
2007-06-12,0.99
2007-06-13,0.0
2007-06-14,0.0
2007-06-15,0.06
2007-06-16,0.0
2007-06-17,0.24
2007-06-18,0.0
2007-06-19,0.0
2007-06-20,0.16
2007-06-21,0.0
2007-06-22,0.0
2007-06-23,0.3
2007-06-24,1.73
2007-06-25,4.84
2007-06-26,0.0
2007-06-27,0.0
2007-06-28,0.0
2007-06-29,0.0
2007-06-30,3.66
2007-07-01,0.49
2007-07-02,1.84
2007-07-03,0.0
2007-07-04,0.0
2007-07-05,1.32
2007-07-06,8.35
2007-07-07,0.0
2007-07-08,0.0
2007-07-09,0.0
2007-07-10,0.0
2007-07-11,0.0
2007-07-12,0.0
2007-07-13,0.0
2007-07-14,0.0
2007-07-15,0.0
2007-07-16,0.0
2007-07-17,0.0
2007-07-18,0.0
2007-07-19,0.0
2007-07-20,0.0
2007-07-21,0.0
2007-07-22,0.0
2007-07-23,0.0
2007-07-24,0.0
2007-07-25,0.0
2007-07-26,0.0
2007-07-27,0.08
2007-07-28,0.06
2007-07-29,0.0
2007-07-30,0.05
2007-07-31,0.0
2007-08-01,0.0
2007-08-02,0.12
2007-08-03,0.0
2007-08-04,0.02
2007-08-05,0.02
2007-08-06,0.0
2007-08-07,0.0
2007-08-08,1.44
2007-08-09,9.72
2007-08-10,0.05
2007-08-11,0.0
2007-08-12,36.42
2007-08-13,6.86
2007-08-14,13.32
2007-08-15,5.53
2007-08-16,0.12
2007-08-17,0.05
2007-08-18,0.14
2007-08-19,0.0
2007-08-20,0.17
2007-08-21,0.11
2007-08-22,0.03
2007-08-23,0.0
2007-08-24,0.0
2007-08-25,9.12
2007-08-26,0.01
2007-08-27,0.01
2007-08-28,0.31
2007-08-29,0.51
2007-08-30,0.04
2007-08-31,0.04
2007-09-01,0.0
2007-09-02,0.0
2007-09-03,0.0
2007-09-04,0.0
2007-09-05,17.63
2007-09-06,0.0
2007-09-07,0.0
2007-09-08,0.0
2007-09-09,0.0
2007-09-10,0.0
2007-09-11,0.0
2007-09-12,0.69
2007-09-13,0.0
2007-09-14,0.0
2007-09-15,0.01
2007-09-16,0.0
2007-09-17,0.0
2007-09-18,0.0
2007-09-19,0.0
2007-09-20,0.0
2007-09-21,0.0
2007-09-22,0.0
2007-09-23,0.24
2007-09-24,0.0
2007-09-25,0.0
2007-09-26,0.44
2007-09-27,0.0
2007-09-28,0.17
2007-09-29,0.44
2007-09-30,2.73
2007-10-01,0.04
2007-10-02,9.11
2007-10-03,0.05
2007-10-04,0.0
2007-10-05,0.0
2007-10-06,15.38
2007-10-07,0.0
2007-10-08,0.0
2007-10-09,0.2
2007-10-10,0.05
2007-10-11,0.03
2007-10-12,0.08
2007-10-13,0.02
2007-10-14,0.01
2007-10-15,0.06
2007-10-16,0.76
2007-10-17,3.56
2007-10-18,4.34
2007-10-19,10.15
2007-10-20,0.13
2007-10-21,0.0
2007-10-22,0.0
2007-10-23,6.62
2007-10-24,2.11
2007-10-25,0.18
2007-10-26,0.0
2007-10-27,0.01
2007-10-28,0.0
2007-10-29,0.0
2007-10-30,0.11
2007-10-31,0.0
2007-11-01,4.83
2007-11-02,8.75
2007-11-03,0.34
2007-11-04,0.0
2007-11-05,5.74
2007-11-06,0.0
2007-11-07,0.0
2007-11-08,0.0
2007-11-09,0.0
2007-11-10,0.0
2007-11-11,0.0
2007-11-12,0.02
2007-11-13,0.73
2007-11-14,0.49
2007-11-15,0.0
2007-11-16,0.0
2007-11-17,0.0
2007-11-18,7.22
2007-11-19,5.53
2007-11-20,0.0
2007-11-21,0.0
2007-11-22,0.04
2007-11-23,5.1
2007-11-24,0.58
2007-11-25,1.31
2007-11-26,9.63
2007-11-27,0.12
2007-11-28,3.58
2007-11-29,0.12
2007-11-30,0.0
2007-12-01,1.16
2007-12-02,24.48
2007-12-03,3.34
2007-12-04,10.3
2007-12-05,0.78
2007-12-06,13.43
2007-12-07,0.11
2007-12-08,0.0
2007-12-09,0.08
2007-12-10,17.09
2007-12-11,26.43
2007-12-12,1.49
2007-12-13,2.98
2007-12-14,0.01
2007-12-15,0.0
2007-12-16,15.59
2007-12-17,0.58
2007-12-18,0.0
2007-12-19,0.01
2007-12-20,0.0
2007-12-21,0.0
2007-12-22,0.0
2007-12-23,11.42
2007-12-24,1.46
2007-12-25,0.28
2007-12-26,3.82
2007-12-27,0.09
