DC_NOME,SG_ESTADO,CD_SITUACAO,VL_LATITUDE,VL_LONGITUDE,VL_ALTITUDE,DT_INICIO_OPERACAO,CD_ESTACAO
BACABAL,MA,Operante,-4.24305555,-44.79499999,22.33,2008-07-08,A220
BAGE,RS,Operante,-31.34777777,-54.01333333,226.19,2007-01-03,A827
BAIXA GRANDE DO RIBEIRO,PI,Operante,-8.333531,-45.094625,519.0,2018-03-22,A375
BALSAS,MA,Operante,-7.45555555,-46.02749999,271.03,2007-10-25,A204
BAMBUI,MG,Operante,-20.0311111,-46.00888888,697.0,2016-11-22,A565
BARBACENA,MG,Operante,-21.22833332,-43.76777777,1168.76,2002-12-04,A502
BARBALHA,CE,Pane,-7.30083333,-39.2711111,409.41,2007-05-30,A315
BARCELOS,AM,Operante,-0.98722221,-62.92416666,29.88,2008-04-18,A128
BARRA,BA,Operante,-11.08472221,-43.13888888,407.5,2008-05-11,A429
BARRA BONITA,SP,Operante,-22.4711111,-48.5575,533.68,2008-04-23,A741
BARRA DO CORDA,MA,Pane,-5.50666666,-45.23694444,154.19,2008-03-05,A221
BARRA DO TURVO,SP,Operante,-24.96277777,-48.41638888,659.89,2008-07-02,A746
BARREIRAS,BA,Operante,-12.12472221,-45.02694443,474.17,2001-12-19,A402
BARRETOS,SP,Pane,-20.55916666,-48.54499999,534.36,2010-06-18,A748
BARUERI,SP,Operante,-23.52388888,-46.86944443,776.5,2011-03-28,A755
BATAGUASSU,MS,Operante,-21.75,-52.47138888,392.13,2013-03-20,A759
BAURU,SP,Operante,-22.35805555,-49.02888888,636.17,2001-08-29,A705
BEBEDOURO,SP,Operante,-20.94805555,-48.47138888,542.0,2016-10-26,A764
BELEM,PA,Operante,-1.411228,-48.439512,21.17,2003-01-19,A201
BELMONTE,BA,Operante,-16.08805555,-39.21527777,89.67,2009-07-01,A447
BELO HORIZONTE (PAMPULHA),MG,Operante,-19.88388888,-43.96944443,854.02,2006-10-09,A521
BELO HORIZONTE - CERCADINHO,MG,Operante,-19.97999999,-43.95861111,1199.55,2013-12-26,F501
BENTO GONCALVES,RS,Operante,-29.164581,-51.534202,623.27,2006-11-30,A840
BERTIOGA,SP,Operante,-23.84472221,-46.14333333,5.0,2017-01-31,A765
BOA VISTA,RR,Operante,2.81694443,-60.69083333,82.35,2010-08-25,A135
BOCA DO ACRE,AM,Operante,-8.77666666,-67.33249999,111.98,2008-07-14,A110
BOM JARDIM DA SERRA - MORRO DA IGREJA,SC,Pane,-28.12694443,-49.47972221,1790.38,2007-06-16,A845
BOM JESUS DA LAPA,BA,Pane,-13.25111111,-43.40527777,447.75,2007-05-17,A418
BOM JESUS DO PIAUI,PI,Pane,-9.07999999,-44.32777777,288.0,2007-07-16,A326
BRAGANCA,PA,Operante,-1.05583333,-46.78277777,5.6,2008-03-10,A226
BRAGANCA PAULISTA,SP,Operante,-22.94916666,-46.5261111,891.0,2017-12-19,A744
BRASILIA,DF,Operante,-15.78944444,-47.92583332,1160.96,2000-05-06,A001
BRASNORTE (NOVO MUNDO),MT,Operante,-12.52194443,-58.23138888,426.2,2008-02-28,A927
BRAZLANDIA,DF,Operante,-15.59972221,-48.1311111,1143.0,2017-07-18,A042
BREJO GRANDE,SE,Operante,-10.47388888,-36.48194443,6.11,2008-07-16,A421
BREVES,PA,Pane,-1.68027777,-50.47805554,11.0,2017-10-19,A228
BRUMADO,BA,Operante,-14.18194443,-41.67222221,473.37,2008-04-27,A433
BURITICUPU,MA,Operante,-4.32055554,-46.44944444,174.91,2008-09-10,A238
BURITIRAMA,BA,Pane,-10.72305554,-43.65111111,506.06,2008-05-14,A432
BURITIS,MG,Operante,-15.52416666,-46.43555555,894.0,2007-06-18,A544
CABACEIRAS,PB,Pane,-7.48333333,-36.28638888,391.96,2008-02-27,A348
CABROBO,PE,Operante,-8.50388888,-39.31527777,342.74,2007-09-03,A329
CACADOR,SC,Pane,-26.81916666,-50.98555555,944.26,2008-03-18,A859
CACAPAVA DO SUL,RS,Operante,-30.54527777,-53.46694443,420.82,2006-06-21,A812
CACHOEIRA PAULISTA,SP,Operante,-22.68888888,-45.00555555,586.0,2017-10-19,A769
CACOAL,RO,Operante,-11.44583333,-61.43416666,183.53,2008-07-19,A939
CAIAPONIA,GO,Operante,-16.96694443,-51.81749999,740.1,2007-05-20,A023
CAICO,RN,Operante,-6.46749999,-37.08499999,171.26,2007-01-06,A316
CALCANHAR,RN,Operante,-5.16,-35.48749999,9.82,2008-05-07,A344
CALDAS,MG,Operante,-21.918066,-46.382996,1077.34,2006-11-27,A530
CAMAQUA,RS,Operante,-30.80805555,-51.83416666,92.3,2006-12-11,A838
CAMARATUBA,PB,Operante,-6.56194444,-35.13527777,135.51,2008-05-03,A352
CAMBARA DO SUL,RS,Operante,-29.04916666,-50.14972221,1017.0,2016-11-23,A897
CAMBUCI,RJ,Operante,-21.58749999,-41.95833333,46.0,2002-11-19,A604
CAMETA,PA,Pane,-2.23972221,-49.49972221,9.92,2008-06-19,A236
CAMPINA DA LAGOA,PR,Operante,-24.57083332,-52.80027777,598.0,2016-08-03,B803
CAMPINA GRANDE,PB,Operante,-7.22555554,-35.90472222,546.17,2006-12-21,A313
CAMPINA VERDE,MG,Operante,-19.53921,-49.518133,559.07,2006-07-14,A519
CAMPO BOM,RS,Operante,-29.674293,-51.064042,23.35,2013-11-28,A884
CAMPO GRANDE,MS,Operante,-20.44722221,-54.72249999,528.47,2001-09-09,A702
CAMPO MAIOR,PI,Operante,-4.86416666,-42.14555555,125.0,2018-11-22,A376
CAMPO NOVO DOS PARECIS,MT,Pane,-13.78583333,-57.8386111,525.41,2002-12-12,A905
CAMPO VERDE,MT,Operante,-15.55888888,-55.17944443,747.0,2006-11-20,A912
CAMPOS DO JORDAO,SP,Operante,-22.75027777,-45.60388888,1662.95,2002-03-12,A706
CAMPOS DOS GOYTACAZES,RJ,Operante,-21.71472222,-41.34388888,17.0,2006-09-24,A607
CAMPOS DOS GOYTACAZES - SAO TOME,RJ,Operante,-22.04166666,-41.05166666,7.0,2008-06-12,A620
CAMPOS LINDOS,TO,Pane,-8.15472222,-46.63944444,426.56,2012-10-28,A043
CAMPOS NOVOS,SC,Operante,-27.3886111,-51.21583333,963.0,2019-02-14,A898
CAMPOS SALES,CE,Pane,-7.07777777,-40.36277777,577.95,2008-03-06,A347
CANELA,RS,Operante,-29.36888888,-50.82722221,830.93,2008-08-22,A879
CANGUCU,RS,Operante,-31.40333333,-52.70083333,446.81,2007-01-23,A811
CANTO DO BURITI,PI,Operante,-8.11805554,-42.97583332,312.07,2010-06-11,A365
CAPAO DO LEAO (PELOTAS),RS,Operante,-31.8025,-52.40722222,13.0,2019-07-17,A887
CAPELINHA,MG,Operante,-17.70555555,-42.38916666,932.06,2007-08-30,A541
CAPITAO POCO,PA,Pane,-1.73472221,-47.0575,79.1,2011-04-17,A248
CARACOL,PI,Pane,-9.28583333,-43.32444443,515.3,2007-11-09,A337
CARATINGA,MG,Operante,-19.73583333,-42.13722221,609.25,2007-05-23,A554
CARAVELAS,BA,Operante,-17.73944444,-39.25861111,6.05,2002-12-19,A405
CARLINDA,MT,Pane,-9.97055554,-55.82749999,293.71,2008-04-08,A926
CARMO,RJ,Pane,-21.9386111,-42.60083333,293.0,2018-10-10,A629
CAROLINA,MA,Operante,-7.33722221,-47.45972222,182.88,2007-12-03,A205
CARUARU,PE,Operante,-8.36527777,-36.02833332,852.0,2007-11-20,A341
CASA BRANCA,SP,Operante,-21.78055554,-47.07527777,734.15,2007-06-24,A738
CASSILANDIA,MS,Operante,-19.12249999,-51.72083332,494.72,2008-03-07,A742
CASTANHAL,PA,Operante,-1.30083333,-47.94805555,47.13,2003-01-23,A202
CASTELO DO PIAUI,PI,Operante,-5.34916666,-41.51222222,268.75,2009-04-19,A361
CASTRO,PR,Pane,-24.77999999,-50.04638888,1016.0,2006-07-08,A819
CATALAO,GO,Operante,-18.154779,-47.927614,900.72,2008-01-30,A034
CAXIAS,MA,Operante,-4.82138888,-43.3436111,84.85,2008-07-12,A237
CHAPADA GAUCHA,MG,Pane,-15.30027777,-45.61749999,873.2,2007-06-21,A548
CHAPADAO DO SUL,MS,Pane,-18.80222222,-52.6025,820.82,2006-12-19,A730
CHAPADINHA,MA,Operante,-3.74277777,-43.35222222,104.0,2008-09-16,A206
CHAPECO,SC,Operante,-27.0853111,-52.6357111,679.0,2019-02-18,A895
CIDADE GAUCHA,PR,Operante,-23.35916666,-52.93194443,365.79,2008-03-10,A869
CLEVELANDIA,PR,Operante,-26.41722221,-52.3486111,966.06,2008-05-14,A876
COARI,AM,Operante,-4.09749999,-63.14527777,33.84,2008-04-11,A117
COLINAS,MA,Pane,-6.03305554,-44.23333333,175.37,2008-06-02,A222
COLINAS DO TOCANTINS,TO,Operante,-8.09277777,-48.4786111,200.0,2016-11-10,A049
COLOMBO,PR,Operante,-25.322464,-49.157733,950.0,2016-05-31,B806
COMODORO,MT,Pane,-13.70805555,-59.7625,576.87,2006-11-27,A913
CONCEICAO DAS ALAGOAS,MG,Operante,-19.98583333,-48.15166666,572.54,2006-07-17,A520
CONCEICAO DO ARAGUAIA,PA,Operante,-8.30361111,-49.28277777,175.74,2008-09-03,A241
CONDE,BA,Operante,-12.03583333,-37.68388888,31.9,2008-04-06,A431
CORONEL PACHECO,MG,Operante,-21.54666666,-43.26111111,411.14,2012-10-16,A557
CORRENTE,PI,Operante,-10.42916666,-45.17305554,452.0,2018-03-27,A374
CORRENTINA,BA,Operante,-13.33249999,-44.61749999,551.71,2007-11-08,A416
CORUMBA,MS,Operante,-18.99666666,-57.63749999,111.73,2006-10-25,A724
CORURIPE,AL,Operante,-10.1286111,-36.28638888,82.39,2008-09-05,A355
COSTA RICA,MS,Pane,-18.49277777,-53.17138888,727.34,2012-12-03,A760
COTRIGUACU,MT,Operante,-9.90638888,-58.57222221,265.0,2007-05-27,A919
COXIM,MS,Operante,-18.51222222,-54.7361111,251.48,2006-11-05,A720
CRATEUS,CE,Operante,-5.18666666,-40.67222221,298.19,2008-12-10,A342
CRISTALINA,GO,Operante,-16.78499999,-47.61305555,1211.08,2007-12-13,A036
CRISTALINA (FAZENDA SANTA MONICA),GO,Operante,-16.39944444,-47.62583332,932.0,2018-01-24,A056
CRUZ ALTA,RS,Operante,-28.60344,-53.673597,426.69,2007-05-30,A853
CRUZ DAS ALMAS,BA,Operante,-12.67555554,-39.08944444,219.76,2003-01-18,A406
CRUZEIRO DO SUL,AC,Pane,-7.61055555,-72.6811111,220.0,2015-05-13,A108
CUIABA,MT,Operante,-15.60694444,-56.06083333,184.0,2002-12-07,A901
CURACA,BA,Operante,-9.00138888,-39.9125,370.0,2015-08-19,A448
CURITIBA,PR,Operante,-25.4486111,-49.23055554,922.91,2003-01-27,A807
CURITIBANOS,SC,Operante,-27.2886111,-50.60416666,978.1,2008-02-27,A860
CURVELO,MG,Operante,-18.74777777,-44.45388888,669.48,2006-12-17,A538
DELFINO,BA,Operante,-10.455,-41.20694444,646.24,2008-07-14,A443
DIAMANTE DO NORTE,PR,Operante,-22.63944444,-52.89027777,368.22,2008-03-05,A849
DIAMANTINA,MG,Operante,-18.231052,-43.648269,1359.25,2007-06-04,A537
DIANOPOLIS,TO,Pane,-11.59444444,-46.84722221,727.87,2008-08-29,A038
DIONISIO CERQUEIRA,SC,Operante,-26.286562,-53.633114,807.54,2008-05-30,A848
DIVINOPOLIS,MG,Operante,-20.17333332,-44.87499999,796.0,2017-10-25,A564
DOIS VIZINHOS,PR,Operante,-25.69916666,-53.09527777,545.95,2007-03-28,A843
DOM ELISEU,PA,Operante,-4.28055554,-47.56388888,251.0,2018-03-07,A252
DOM PEDRITO,RS,Operante,-31.0025,-54.61805554,150.0,2010-04-22,A881
DORES DO INDAIA,MG,Operante,-19.48194443,-45.59388888,721.09,2007-05-31,A536
DOURADOS,MS,Operante,-22.19388888,-54.91138888,463.3,2006-10-17,A721
DRACENA,SP,Operante,-21.45777777,-51.55222222,383.0,2016-11-02,A762
DUQUE DE CAXIAS - XEREM,RJ,Pane,-22.58972221,-43.28222221,22.0,2002-10-20,A603
ECOPORANGA,ES,Operante,-18.29138888,-40.73638888,224.0,2017-03-16,A631
EDEIA,GO,Operante,-17.33694444,-49.91472222,608.0,2017-08-25,A029
EIRUNEPE,AM,Pane,-6.65027777,-69.8686111,121.54,2012-08-30,A109
ENCRUZILHADA DO SUL,RS,Operante,-30.54305555,-52.52472221,427.75,2018-03-14,A893
EPITACIOLANDIA,AC,Operante,-11.02388888,-68.73527777,224.5,2009-09-24,A140
ERECHIM,RS,Operante,-27.65777777,-52.30583333,777.08,2006-11-24,A828
ESPINOSA,MG,Operante,-14.91222222,-42.80861111,565.36,2007-11-13,A543
ESTREITO,MA,Operante,-6.65333333,-47.41833332,182.96,2008-02-26,A224
EUCLIDES DA CUNHA,BA,Operante,-10.53722221,-38.99666666,431.96,2008-03-30,A442
FAROL de SANTANA,MA,Pane,-2.27083332,-43.62416666,9.87,2008-11-27,A217
FEIJO,AC,Operante,-8.14277777,-70.3436111,157.17,2009-09-23,A138
FEIRA DE SANTANA,BA,Pane,-12.1961111,-38.96749999,229.64,2007-05-25,A413
FLORESTA,PE,Operante,-8.59888888,-38.58416666,327.42,2008-09-14,A351
FLORESTAL,MG,Operante,-19.88527777,-44.41694443,753.5,2008-06-26,A535
FLORIANO,PI,Pane,-6.76138888,-43.00333333,126.39,2004-11-17,A311
FLORIANOPOLIS,SC,Pane,-27.6025,-48.61999999,4.87,2003-01-21,A806
FORMIGA,MG,Operante,-20.455,-45.45388888,878.14,2006-08-16,A524
FORMOSA DO RIO PRETO,BA,Pane,-11.05222222,-45.20083333,488.0,2016-06-01,A452
FORMOSO DO ARAGUAIA,TO,Operante,-11.88749999,-49.60833333,215.2,2008-04-26,A039
FORTALEZA,CE,Pane,-3.81583333,-38.53777777,29.55,2003-02-17,A305
FOZ DO IGUACU,PR,Operante,-25.60194444,-54.48305554,235.09,2008-02-14,A846
FRANCA,SP,Pane,-20.58444444,-47.38249999,1002.74,2002-12-11,A708
